slot_id,status,floor,distance,type
1,occupied,1,10.0,A
2,occupied,1,10.5,A
3,available,1,11.0,A
4,available,1,11.5,A
5,available,1,12.0,A
6,available,1,12.5,A
7,available,1,13.0,A
8,available,1,13.5,A
9,available,1,14.0,A
10,available,1,14.5,A
11,available,2,15.0,A
12,available,2,15.5,A
13,available,2,16.0,A
14,available,2,16.5,A
15,available,2,17.0,A
16,available,2,17.5,A
17,available,2,18.0,A
18,available,2,18.5,A
19,available,2,19.0,A
20,available,2,19.5,A
21,available,3,20.0,A
22,available,3,20.5,A
23,available,3,21.0,A
24,available,3,21.5,A
25,available,3,22.0,A
26,available,3,22.5,A
27,available,3,23.0,A
28,available,3,23.5,A
29,available,3,24.0,A
30,available,3,24.5,A
31,available,4,25.0,A
32,available,4,25.5,A
33,available,4,26.0,A
34,available,4,26.5,A
35,available,4,27.0,A
36,available,4,27.5,A
37,available,4,28.0,A
38,available,4,28.5,A
39,available,4,29.0,A
40,available,4,29.5,A
41,available,5,30.0,A
42,available,5,30.5,A
43,available,5,31.0,A
44,available,5,31.5,A
45,available,5,32.0,A
46,available,5,32.5,A
47,available,5,33.0,A
48,available,5,33.5,A
49,available,5,34.0,A
50,available,5,34.5,A
